SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,River Water Level (m),Area (m2),Velocity (m/sec),Total_discharge (m3/sec)
1,Annavasal,CWC,34,Puducherry,598,Karaikal,Karaikal,-,-,Cauvery,Cauvery,-,-,-,Nattar,10.97500000,79.75388889,06-01-2026 08:00,4.84,2.705,0.783,1.798
2,Annavasal,CWC,34,Puducherry,598,Karaikal,Karaikal,-,-,Cauvery,Cauvery,-,-,-,Nattar,10.97500000,79.75388889,07-01-2026 08:00,4.82,2.583,0.683,1.668
3,Annavasal,CWC,34,Puducherry,598,Karaikal,Karaikal,-,-,Cauvery,Cauvery,-,-,-,Nattar,10.97500000,79.75388889,08-01-2026 08:00,4.66,0.603,0.247,0.088
4,Annavasal,CWC,34,Puducherry,598,Karaikal,Karaikal,-,-,Cauvery,Cauvery,-,-,-,Nattar,10.97500000,79.75388889,09-01-2026 08:00,4.73,1.795,0.662,1.089
5,Annavasal,CWC,34,Puducherry,598,Karaikal,Karaikal,-,-,Cauvery,Cauvery,-,-,-,Nattar,10.97500000,79.75388889,10-01-2026 08:00,4.78,2.036,0.672,1.316
6,Annavasal,CWC,34,Puducherry,598,Karaikal,Karaikal,-,-,Cauvery,Cauvery,-,-,-,Nattar,10.97500000,79.75388889,12-01-2026 08:00,4.76,1.795,0.662,1.12
7,Annavasal,CWC,34,Puducherry,598,Karaikal,Karaikal,-,-,Cauvery,Cauvery,-,-,-,Nattar,10.97500000,79.75388889,13-01-2026 08:00,4.67,0.722,0.278,0.162
8,Annavasal,CWC,34,Puducherry,598,Karaikal,Karaikal,-,-,Cauvery,Cauvery,-,-,-,Nattar,10.97500000,79.75388889,14-01-2026 08:00,4.7,1.079,0.42,0.433
9,Annavasal,CWC,34,Puducherry,598,Karaikal,Karaikal,-,-,Cauvery,Cauvery,-,-,-,Nattar,10.97500000,79.75388889,16-01-2026 08:00,4.8,2.275,0.683,1.485
10,Annavasal,CWC,34,Puducherry,598,Karaikal,Karaikal,-,-,Cauvery,Cauvery,-,-,-,Nattar,10.97500000,79.75388889,17-01-2026 08:00,4.77,1.916,0.683,1.25
11,Annavasal,CWC,34,Puducherry,598,Karaikal,Karaikal,-,-,Cauvery,Cauvery,-,-,-,Nattar,10.97500000,79.75388889,19-01-2026 08:00,4.7,1.079,0.441,0.465
12,Annavasal,CWC,34,Puducherry,598,Karaikal,Karaikal,-,-,Cauvery,Cauvery,-,-,-,Nattar,10.97500000,79.75388889,20-01-2026 08:00,4.69,0.96,0.394,0.343
13,Annavasal,CWC,34,Puducherry,598,Karaikal,Karaikal,-,-,Cauvery,Cauvery,-,-,-,Nattar,10.97500000,79.75388889,21-01-2026 08:00,4.67,0.722,0.247,0.148
14,KANNAPOOR,CWC,34,Puducherry,598,Karaikal,Thirunallar,-,-,Cauvery,Cauvery,Vanjiyar,-,-,Vanjiyar,10.96583333,79.74194444,13-01-2026 08:00,4.16,20.505,0.166,1.242
15,KANNAPOOR,CWC,34,Puducherry,598,Karaikal,Thirunallar,-,-,Cauvery,Cauvery,Vanjiyar,-,-,Vanjiyar,10.96583333,79.74194444,14-01-2026 08:00,4.38,22.5,0.179,1.725
16,Nallathur,CWC,34,Puducherry,598,Karaikal,Karaikal,-,-,Cauvery,Cauvery,-,-,-,Nandalar,11.00222222,79.75138889,13-01-2026 08:00,2.91,31.869,0.518,7.407
17,Nallathur,CWC,34,Puducherry,598,Karaikal,Karaikal,-,-,Cauvery,Cauvery,-,-,-,Nandalar,11.00222222,79.75138889,14-01-2026 08:00,3.16,40.516,0.563,10.364
